W,mask_mode,n_accessions,contingency_high_pol_high_non_low_pol_low_non,fisher_OR,fisher_OR_haldane,fisher_p,n_top_window_in_pol,frac_top_in_pol,mean_mask_genome_fraction,binom_p_top_in_pol_vs_genome_frac,sign_test_p_vs_0.5,stouffer_T_log_mask_enrich,stouffer_p
3,orf1ab_full,11,"[9, 2, 12, 10]",3.75,3.192,0.2492200549849145,9,0.8181818181818182,0.6869440138622394,0.280265607518293,0.03271484375,-0.0868197961806613,0.5345926240190794
5,orf1ab_full,11,"[10, 1, 30, 14]",4.666666666666667,3.3278688524590163,0.25492255210545395,10,0.9090909090909091,0.6869440138622394,0.09665456135555388,0.005859375,-0.0868197961806613,0.5345926240190794
7,orf1ab_full,11,"[6, 5, 47, 19]",0.4851063829787234,0.4851674641148325,0.303324623937862,6,0.5454545454545454,0.6869440138622394,0.906065882588254,0.5,-0.0868197961806613,0.5345926240190794
10,orf1ab_full,11,"[5, 6, 70, 29]",0.34523809523809523,0.35406437534097107,0.10058981052061171,5,0.45454545454545453,0.6869440138622394,0.9725902522416324,0.7255859375,-0.0868197961806613,0.5345926240190794
3,orf1ab_ct,11,"[0, 11, 4, 18]",0.0,0.178743961352657,0.27553763440860213,0,0.0,0.19205073461130748,1.0,1.0,1.4594406454857674,0.07222193291802037
5,orf1ab_ct,11,"[2, 9, 13, 31]",0.5299145299145299,0.6140350877192983,0.7075588059041535,2,0.18181818181818182,0.19205073461130748,0.6538222051904887,0.994140625,1.4594406454857674,0.07222193291802037
7,orf1ab_ct,11,"[4, 7, 11, 55]",2.857142857142857,2.8956521739130436,0.20958945720172695,4,0.36363636363636365,0.19205073461130748,0.14398058231675373,0.88671875,1.4594406454857674,0.07222193291802037
10,orf1ab_ct,11,"[0, 11, 17, 82]",0.0,0.20496894409937888,0.20858866579073568,0,0.0,0.19205073461130748,1.0,1.0,1.4594406454857674,0.07222193291802037
3,peakfrag250_orf1ab,11,"[9, 2, 13, 9]",3.1153846153846154,2.674074074074074,0.2584726247298188,9,0.8181818181818182,,,0.03271484375,,
5,peakfrag250_orf1ab,11,"[10, 1, 24, 20]",8.333333333333334,5.857142857142857,0.03706293764416049,10,0.9090909090909091,,,0.005859375,,
7,peakfrag250_orf1ab,11,"[10, 1, 38, 28]",7.368421052631579,5.181818181818182,0.044720122361756334,10,0.9090909090909091,,,0.005859375,,
10,peakfrag250_orf1ab,11,"[8, 3, 61, 38]",1.6612021857923498,1.5203252032520325,0.5330138914473362,8,0.7272727272727273,,,0.11328125,,
