family,locus_id,mechanism,n_accessions,median_mass_enrichment,mean_mass_enrichment,median_percentile,n_sig_p005,frac_sig_p005,n_high_percentile_090
Coronaviridae,S_NTD,entry_surface,2,1.5951452007880733,1.5951452007880733,0.8015873015873016,0,0.0,0
Coronaviridae,S_proximal_third,entry_surface,10,1.5263832611643804,1.5204437062658849,0.7675021607605876,0,0.0,2
Coronaviridae,ORF1ab_nsp1,host_shutoff,1,1.2385757640758268,1.2385757640758268,0.7880184331797235,0,0.0,0
Coronaviridae,ORF1ab_C_terminal_third,replication,11,1.14988473536335,1.1407622407000444,0.6923076923076923,2,0.18181818181818182,2
Coronaviridae,ORF1ab_nsp3_macro,host_interaction,1,0.956701010215262,0.956701010215262,0.29411764705882354,0,0.0,0
Coronaviridae,S_distal_third,fusion,10,0.7173597812763803,1.0026043337899955,0.4945339470655926,0,0.0,1
Coronaviridae,S_RBD,receptor_binding,2,0.6218869045081761,0.6218869045081761,0.6066666666666667,0,0.0,0
Coronaviridae,S_middle_third,receptor_binding,10,0.323087773235715,0.35883315683973316,0.3573657927590512,0,0.0,0
Coronaviridae,ORF1ab_RdRp,replication,1,0.32002819953708483,0.32002819953708483,0.15384615384615385,0,0.0,0
Coronaviridae,S_furin_cleavage,cleavage_activation,2,0.3148015067786145,0.3148015067786145,0.49516568729136756,0,0.0,0
Coronaviridae,S_S2_fusion,fusion,2,0.19512438085330466,0.19512438085330466,0.1484375,0,0.0,0
Coronaviridae,N_protein,structural_immune,1,0.1405792694969149,0.1405792694969149,0.12087912087912088,0,0.0,0
Orthomyxoviridae,HA_E190,receptor_binding,3,0.29255471017234996,0.35758643199893525,0.5205479452054794,0,0.0,0
Orthomyxoviridae,HA_cleavage_loop,cleavage_activation,3,0.2602189115707592,0.27768639562284725,0.4330708661417323,0,0.0,0
Orthomyxoviridae,HA_Q226,receptor_binding,3,0.2438750440451039,0.34920460385917335,0.40655577299412915,0,0.0,0
Orthomyxoviridae,HA_G228,receptor_binding,3,0.2268675756408525,0.2798613979766209,0.4334637964774951,0,0.0,0
