target,cv,rho,p,n,n_eligible
spillover_total,shuffle_KFold,0.7470316450125902,8.294896166854597e-114,632,
spillover_total,GroupKFold_organism,0.3106124073419487,1.3306157385217187e-15,632,
spillover_host_score,shuffle_KFold,0.8003057327821258,4.4431720829227716e-142,632,
spillover_host_score,GroupKFold_organism,0.21429245411585454,5.331601665646821e-08,632,
spillover_virus_score,shuffle_KFold,0.538160839559125,9.764612291731844e-49,632,
spillover_virus_score,GroupKFold_organism,-0.07577432305567722,0.05692272442711842,632,
spillover_env_score,shuffle_KFold,0.5774296766964638,1.7851325827489644e-57,632,
spillover_env_score,GroupKFold_organism,-0.6522876314191496,7.380054084347871e-78,632,
total_recon_from_factors,shuffle_KFold,0.7470316450125902,8.294896166854597e-114,632,
total_recon_from_factors,GroupKFold_organism,0.3106124073419487,1.3306157385217187e-15,632,
total_ablated_circular_factors,shuffle_KFold,0.7131395750694183,2.8789076758222044e-99,632,
total_ablated_circular_factors,GroupKFold_organism,0.08177594923685114,0.03986077344640772,632,
host_axis_recon,shuffle_KFold,0.9358589933469275,1.3924501416069445e-287,632,
host_axis_recon,GroupKFold_organism,0.6974895077317519,3.0221276280827738e-93,632,
spillover_total_resid_Host_label,shuffle_KFold,0.7489721557882757,1.0377793839550126e-114,632,
spillover_total_resid_Host_label,GroupKFold_organism,0.2609407140789013,2.687843165589628e-11,632,
spillover_host_resid_Host_label,shuffle_KFold,0.8000324080397262,6.51907097057357e-142,632,
spillover_host_resid_Host_label,GroupKFold_organism,0.28858913851267326,1.375841627533795e-13,632,
total_ablated_resid_Host_label,shuffle_KFold,0.7048423606433254,5.0218398681327795e-96,632,
total_ablated_resid_Host_label,GroupKFold_organism,0.14011971632969114,0.0004108324774360425,632,
spillover_total_nonHumanVirus,GroupKFold_organism,0.5121075103284048,5.4727160610466576e-05,56,56.0
total_ablated_nonHumanVirus,GroupKFold_organism,0.5112814699128887,5.652681584374648e-05,56,56.0
spillover_host_nonHumanVirus,GroupKFold_organism,0.7025493931895257,1.5897010439206575e-09,56,56.0
