accession,window_index,window_start,window_end,window_attr_sum,window_cds_class,top_fragment_start,top_fragment_end,top_fragment_attr,top_fragment_cds_class,pred_multitask_regression,pred_multitask_cls_prob
EF065509,0,0,4096,21.09514808654785,ORF1ab,0,250,10.476078033447266,other,0.65234375,0.265625
EF065509,1,13192,17288,32.46682357788086,ORF1ab,13196,13446,14.220370292663574,ORF1ab,0.65625,0.1943359375
EF065509,2,26385,30481,22.773242950439453,other,26385,26635,10.627059936523438,other,0.6328125,0.2216796875
GU190215,0,0,4096,19.610254287719727,ORF1ab,0,250,8.668013572692871,other,0.609375,0.265625
GU190215,1,12590,16686,25.828012466430664,ORF1ab,12590,12840,11.999651908874512,ORF1ab,0.625,0.28125
GU190215,2,25180,29276,22.615520477294922,other,25180,25430,11.550768852233887,other,0.6484375,0.208984375
KF268337,0,0,4096,19.270545959472656,ORF1ab,0,250,7.123166561126709,other,0.60546875,0.29296875
KF268337,1,13599,17695,33.10437774658203,ORF1ab,13666,13916,12.222234725952148,ORF1ab,0.6171875,0.275390625
KF268337,2,27198,31294,30.493553161621094,other,27198,27448,12.421685218811035,S_gene_non_RBD,0.6328125,0.259765625
MF370205,0,0,4096,21.511709213256836,ORF1ab,0,250,7.689708709716797,other,0.61328125,0.267578125
MF370205,1,11530,15626,25.780384063720703,ORF1ab,11530,11780,11.291011810302734,ORF1ab,0.6171875,0.248046875
MF370205,2,23059,27155,26.835506439208984,other,23059,23309,12.335895538330078,S_gene_non_RBD,0.60546875,0.306640625
MG762674,0,0,4096,16.493785858154297,ORF1ab,0,250,7.524623870849609,other,0.578125,0.349609375
MG762674,1,12519,16615,25.11220932006836,ORF1ab,12534,12784,8.431646347045898,ORF1ab,0.63671875,0.298828125
MG762674,2,25038,29134,21.491230010986328,other,25038,25288,9.43074893951416,other,0.62890625,0.2490234375
MT549854,0,0,4096,20.29821014404297,ORF1ab,0,250,8.615421295166016,other,0.609375,0.28125
MT549854,1,12270,16366,21.6705379486084,ORF1ab,12270,12520,10.089911460876465,ORF1ab,0.6171875,0.26171875
MT549854,2,24541,28637,26.087360382080078,other,24623,24873,11.034286499023438,other,0.62890625,0.263671875
MW218395,0,0,4096,29.167037963867188,ORF1ab,0,250,14.476375579833984,other,0.609375,0.314453125
MW218395,1,13076,17172,27.322856903076172,ORF1ab,13272,13522,12.314345359802246,ORF1ab,0.67578125,0.2197265625
MW218395,2,26152,30248,28.003637313842773,other,26152,26402,14.397534370422363,other,0.6484375,0.2294921875
NC_048211,0,0,4096,30.525270462036133,ORF1ab,0,250,16.02437973022461,other,0.66015625,0.2451171875
NC_048211,1,10944,15040,29.810598373413086,ORF1ab,10944,11194,11.986589431762695,ORF1ab,0.6953125,0.197265625
NC_048211,2,21888,25984,39.44090270996094,other,21888,22138,16.557575225830078,S_gene_non_RBD,0.66796875,0.5859375
ON648240,0,0,4096,16.891658782958984,ORF1ab,0,250,6.641014575958252,other,0.671875,0.1923828125
ON648240,1,12826,16922,26.146326065063477,ORF1ab,12979,13229,11.420493125915527,ORF1ab,0.625,0.298828125
ON648240,2,25653,29749,18.028894424438477,other,25653,25903,7.792736530303955,other,0.65625,0.248046875
OQ297728,0,0,4096,21.316404342651367,ORF1ab,0,250,7.4621968269348145,other,0.64453125,0.1611328125
OQ297728,1,12185,16281,45.99684143066406,ORF1ab,12185,12435,25.165985107421875,ORF1ab,0.62109375,0.25
OQ297728,2,24370,28466,26.968687057495117,other,24370,24620,12.233882904052734,S_gene_non_RBD,0.640625,0.2431640625
