human_acc,nonhuman_acc,fragment,dN,dS,dNdS,aa_diffs,aln_len
ON648240,EF065509,high,0.9687678601445621,0.07584467977811397,12.773049645390069,3105,9915
ON648240,EF065509,low,0.9684989073793915,0.06979324256177509,13.876685934489402,3118,9915
ON648240,GU190215,high,0.973213065463988,0.05494054940549405,17.713930348258707,3102,9756
ON648240,GU190215,low,0.9425829149161458,0.07090890460088124,13.292870905587668,3046,9759
ON648240,KF268336,high,0.9710539586485124,0.07503782148260212,12.940860215053764,3110,9915
ON648240,KF268336,low,0.9580097495377374,0.07261724659606657,13.192592592592593,3115,9915
ON648240,KF268337,high,0.9711884350310976,0.07382753403933434,13.154826958105646,3111,9915
ON648240,KF268337,low,0.9581442259203228,0.07261724659606657,13.194444444444445,3115,9915
ON648240,MF370205,high,0.9649025890325195,0.0724781792067175,13.3130081300813,2837,9051
ON648240,MF370205,low,0.9507605052848672,0.08043310131477185,11.82051282051282,2822,9051
ON648240,MG762674,high,0.9694847767136924,0.04984038718978478,19.451790633608816,3080,9711
ON648240,MG762674,low,0.9516356022380119,0.06878797240243023,13.83433133732535,3045,9711
ON648240,MT549854,high,0.9449336128581411,0.04905660377358491,19.26210826210826,2992,9543
ON648240,MT549854,low,0.9580712788259959,0.07127882599580712,13.441176470588237,3018,9546
ON648240,MW218395,high,0.9797949235165574,0.056076651538073626,17.47242206235012,3149,9915
ON648240,MW218395,low,0.9164565473188772,0.08835098335854766,10.372907153729072,3057,9915
ON648240,NC_048211,high,0.9292229534695763,0.060962937305161065,15.242424242424244,2705,8661
ON648240,NC_048211,low,0.9406150175114498,0.06650502251472117,14.143518518518519,2720,8661
ON648240,OQ297728,high,0.9326024316536651,0.05102255956145899,18.27823691460055,2962,9486
ON648240,OQ297728,low,0.9666174713613044,0.07084123972169513,13.644841269841269,2988,9489
