accession,feature,high,low,delta
EF065509,gc,0.4427165354330709,0.4264762948965789,0.01624024053649198
EF065509,cpg,0.030711684220887884,0.02884141198977417,0.0018702722311137142
EF065509,cpa,0.06555763362535683,0.06974063730072724,-0.004183003675370417
GU190215,gc,0.4053084648493544,0.40408853366123576,0.0012199311881186392
GU190215,cpg,0.0201906323665061,0.021213363394138145,-0.001022731027632045
GU190215,cpa,0.06180178333504151,0.0701475712236114,-0.008345787888569892
KF268336,gc,0.4330361422682389,0.41053510676058214,0.022501035507656753
KF268336,cpg,0.02799616490891659,0.024351688624870204,0.0036444762840463843
KF268336,cpa,0.04918504314477469,0.05704413047876228,-0.007859087333987588
KF268337,gc,0.4334196146102962,0.41087063587007344,0.02254897874022277
KF268337,cpg,0.02799616490891659,0.024399627263412868,0.0035965376455037203
KF268337,cpa,0.04947267497603068,0.056948257797462445,-0.007475582821431764
MF370205,gc,0.3885758479725997,0.3970945647370747,-0.00851871676447502
MF370205,cpg,0.019447513812154697,0.021102640592199757,-0.0016551267800450596
MF370205,cpa,0.048839779005524865,0.05712076013700144,-0.008280981131476572
MG762674,gc,0.41968698517298186,0.4207084749253424,-0.0010214897523605493
MG762674,cpg,0.027597569766244466,0.02631307929969104,0.001284490466553427
MG762674,cpa,0.06075584388837401,0.05453141091658084,0.006224432971793169
MT549854,gc,0.41364493816809894,0.39907804043377904,0.014566897734319906
MT549854,cpg,0.025678650036683785,0.023215359920413646,0.0024632901162701393
MT549854,cpa,0.05492086783356042,0.05722707992514172,-0.0023062120915813
MW218395,gc,0.37581829002182104,0.37910344143608055,-0.0032851514142595017
MW218395,cpg,0.01904572959031842,0.01740726046419361,0.0016384691261248086
MW218395,cpa,0.053268524947921836,0.05797460821265622,-0.004706083264734387
NC_048211,gc,0.3217501731701686,0.31970904052649807,0.002041132643670507
NC_048211,cpg,0.010160489550860179,0.00918013856812933,0.0009803509827308494
NC_048211,cpa,0.043066620482623254,0.038106235565819865,0.004960384916803388
ON648240,gc,0.37505042355788626,0.38088027563020754,-0.005829852072321284
ON648240,cpg,0.014523449319213313,0.0148251566308784,-0.00030170731166508785
ON648240,cpa,0.0637418053454362,0.0724622532754716,-0.008720447930035388
OQ297728,gc,0.38532883642495785,0.38422234071899397,0.0011064957059638836
OQ297728,cpg,0.018867924528301886,0.01870991918862234,0.00015800533967954764
OQ297728,cpa,0.05881732897649415,0.06450967370393007,-0.005692344727435919
