accession,window_index,window_start,window_end,window_attr_sum,top_fragment_start,top_fragment_end,top_fragment_attr,top_fragment_annotation,pred_regression
GU190215,0,0,4096,39.40769577026367,0,250,14.740096092224121,other,0.4609375
GU190215,1,12590,16686,56.749061584472656,12670,12920,18.348989486694336,other,0.37890625
GU190215,2,25180,29276,37.949344635009766,25191,25441,15.950971603393555,other,0.330078125
OQ297728,0,0,4096,61.578643798828125,0,250,20.352203369140625,other,0.3125
OQ297728,1,12185,16281,70.82064819335938,12185,12435,40.623451232910156,other,0.427734375
OQ297728,2,24370,28466,45.35566711425781,24393,24643,16.089859008789062,other,0.361328125
KF268337,0,0,4096,35.59305953979492,0,250,17.218658447265625,other,0.466796875
KF268337,1,13599,17695,51.70155715942383,13599,13849,17.216276168823242,other,0.58203125
KF268337,2,27198,31294,44.942726135253906,27199,27449,15.935315132141113,other,0.5234375
EF065509,0,0,4096,37.63648986816406,0,250,18.669557571411133,other,0.326171875
EF065509,1,13192,17288,46.29825973510742,13193,13443,15.57600212097168,other,0.396484375
EF065509,2,26385,30481,37.041805267333984,26401,26651,14.269866943359375,other,0.36328125
MF370205,0,0,4096,42.63069152832031,0,250,16.654232025146484,other,0.38671875
MF370205,1,11530,15626,39.583221435546875,11530,11780,11.754719734191895,other,0.6171875
MF370205,2,23059,27155,50.204341888427734,23074,23324,15.287651062011719,other,0.458984375
MT549854,0,0,4096,33.45269012451172,0,250,13.774749755859375,other,0.404296875
MT549854,1,12270,16366,66.44989013671875,12270,12520,25.57912826538086,other,0.51171875
MT549854,2,24541,28637,41.94500732421875,24576,24826,13.02613639831543,other,0.357421875
MG762674,0,0,4096,40.89990997314453,0,250,19.068613052368164,other,0.5078125
MG762674,1,12519,16615,49.25502014160156,12572,12822,15.67404556274414,other,0.3828125
MG762674,2,25038,29134,48.82619094848633,25038,25288,14.36790943145752,other,0.404296875
ON648240,0,0,4096,29.57768440246582,0,250,9.5355224609375,other,0.376953125
ON648240,1,12826,16922,49.183143615722656,12983,13233,21.46912384033203,other,0.361328125
ON648240,2,25653,29749,37.74098205566406,25653,25903,11.928242683410645,other,0.361328125
MW218395,0,0,4096,55.364479064941406,0,250,16.239768981933594,other,0.494140625
MW218395,1,13076,17172,39.79568099975586,13076,13326,14.537732124328613,other,0.40234375
MW218395,2,26152,30248,45.986602783203125,26168,26418,16.1971435546875,other,0.466796875
NC_048211,0,0,4096,38.22483825683594,26,276,13.80736255645752,other,0.35546875
NC_048211,1,10944,15040,102.02383422851562,10945,11195,35.58842468261719,other,0.369140625
NC_048211,2,21888,25984,59.90555191040039,21888,22138,25.890228271484375,other,0.35546875
