accession,window_index,start,end,frac_orf1ab_overlap_peakfrag,attr_score,is_top,peak_frag_start,peak_frag_end,peak_frag_class,is_polymerase_replicase
EF065509,0,0,4096,0.0,37.63648986816406,0,0,250,other,0
EF065509,1,13192,17288,1.0,46.29825973510742,1,13193,13443,polymerase_replicase,1
EF065509,2,26385,30481,0.0,37.041805267333984,0,26401,26651,accessory_immune,0
GU190215,0,0,4096,0.24,39.40769577026367,0,0,250,other,0
GU190215,1,12590,16686,1.0,56.749061584472656,1,12670,12920,polymerase_replicase,1
GU190215,2,25180,29276,0.0,37.949344635009766,0,25191,25441,accessory_immune,0
KF268337,0,0,4096,0.248,35.59305953979492,0,0,250,other,0
KF268337,1,13599,17695,1.0,51.70155715942383,1,13599,13849,polymerase_replicase,1
KF268337,2,27198,31294,0.0,44.94272613525391,0,27199,27449,entry_interface,0
MF370205,0,0,4096,0.0,42.63069152832031,0,0,250,other,0
MF370205,1,11530,15626,1.0,39.58322143554688,0,11530,11780,polymerase_replicase,1
MF370205,2,23059,27155,0.0,50.20434188842773,1,23074,23324,entry_interface,0
MG762674,0,0,4096,0.084,40.89990997314453,0,0,250,other,0
MG762674,1,12519,16615,1.0,49.25502014160156,1,12572,12822,polymerase_replicase,1
MG762674,2,25038,29134,0.0,48.82619094848633,0,25038,25288,other,0
MT549854,0,0,4096,0.0,33.45269012451172,0,0,250,other,0
MT549854,1,12270,16366,1.0,66.44989013671875,1,12270,12520,polymerase_replicase,1
MT549854,2,24541,28637,0.0,41.94500732421875,0,24576,24826,other,0
MW218395,0,0,4096,0.204,55.364479064941406,1,0,250,other,0
MW218395,1,13076,17172,1.0,39.79568099975586,0,13076,13326,polymerase_replicase,1
MW218395,2,26152,30248,0.0,45.986602783203125,0,26168,26418,other,0
NC_048211,0,0,4096,0.26,38.22483825683594,0,26,276,other,0
NC_048211,1,10944,15040,1.0,102.02383422851562,1,10945,11195,polymerase_replicase,1
NC_048211,2,21888,25984,0.0,59.90555191040039,0,21888,22138,entry_interface,0
ON648240,0,0,4096,0.04,29.57768440246582,0,0,250,other,0
ON648240,1,12826,16922,1.0,49.183143615722656,1,12983,13233,polymerase_replicase,1
ON648240,2,25653,29749,0.0,37.74098205566406,0,25653,25903,accessory_immune,0
OQ297728,0,0,4096,0.0,61.578643798828125,0,0,250,other,0
OQ297728,1,12185,16281,1.0,70.82064819335938,1,12185,12435,polymerase_replicase,1
OQ297728,2,24370,28466,0.0,45.35566711425781,0,24393,24643,entry_interface,0
