accession,family,virus_group,locus_id,gene,mechanism,attr_source,note,ok,locus_start,locus_end,locus_len,locus_mean_abs_attr,mean_enrichment,mass_enrichment,mass_frac,frac_len,p_circular_shift_mass,percentile_vs_equal_length
EF065509,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,21734,23073,1339,0.01849880121502941,2.8058314858887208,2.5996087354547144,0.11419822502060632,0.04392900495390571,0.059940059940059943,0.9545454545454546
EF065509,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,23073,24412,1339,0.004117786715118702,0.567676615611762,0.5786663790227088,0.025420238231325918,0.04392900495390571,0.4775224775224775,0.5340909090909091
EF065509,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,24412,25793,1381,0.0015103333675356686,0.20459614765453335,0.2122448784685174,0.009616160138167774,0.04530691250287064,0.8061938061938062,0.21176470588235294
EF065509,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,14481,21808,7327,0.004448093175081591,0.5587886764340282,0.6250838494809644,0.1502571885819389,0.2403792526491913,0.994005994005994,0.07692307692307693
GU190215,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,21390,22637,1247,0.010576473643111484,1.2755868745467789,1.2607871032895828,0.053702743470386,0.04259461675092226,0.3176823176823177,0.6923076923076923
GU190215,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,22637,23884,1247,0.002617566599943734,0.30276475956481247,0.31203162061109635,0.013290867294410855,0.04259461675092226,0.6483516483516484,0.3956043956043956
GU190215,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,23884,25170,1286,0.0011781574984316525,0.1351085877834031,0.14044433237301687,0.0061692653175232735,0.04392676595163274,0.8901098901098901,0.11363636363636363
GU190215,Coronaviridae,CoV,ORF1ab_C_terminal_third,ORF1ab,replication,dense_stitched,ORF1ab C-terminal third (RdRp-like),True,14178,21384,7206,0.009646137372613358,1.2090538361891707,1.14988473536335,0.2830328392902707,0.24614018308512092,0.25574425574425574,0.6923076923076923
KF268336,Coronaviridae,CoV,S_proximal_third,S,entry_surface,dense_stitched,S N-proximal third (NTD-like),True,23907,25218,1311,0.002813164846842646,0.3587601196308303,0.3686637066706877,0.015444434059462152,0.04189301463539337,0.5594405594405595,0.44565217391304346
KF268336,Coronaviridae,CoV,S_middle_third,S,receptor_binding,dense_stitched,S mid third (RBD-like),True,25218,26530,1312,0.0009709875782679348,0.12256641803551736,0.12724738834171873,0.005334842893472137,0.04192496964274302,0.8811188811188811,0.13043478260869565
KF268336,Coronaviridae,CoV,S_distal_third,S,fusion,dense_stitched,S C-proximal third (S2-like),True,26530,27882,1352,0.014204586359633726,1.936847141960584,1.8615032336081105,0.0804228405412034,0.04320316993672908,0.23276723276723277,0.7752808988764045
