accession,best_window_index,best_window_start,best_window_attr_sum,best_fragment_annotation,annotation_counts_across_windows
EF065509,1,13192,46.29825973510742,other,"{""other"": 3}"
GU190215,1,12590,56.749061584472656,other,"{""other"": 3}"
KF268337,1,13599,51.70155715942383,other,"{""other"": 3}"
MF370205,2,23059,50.204341888427734,other,"{""other"": 3}"
MG762674,1,12519,49.25502014160156,other,"{""other"": 3}"
MT549854,1,12270,66.44989013671875,other,"{""other"": 3}"
MW218395,0,0,55.364479064941406,other,"{""other"": 3}"
NC_048211,1,10944,102.02383422851562,other,"{""other"": 3}"
ON648240,1,12826,49.183143615722656,other,"{""other"": 3}"
OQ297728,1,12185,70.82064819335938,other,"{""other"": 3}"
