accession,genome_len,n_features,len_entry_interface,frac_entry_interface,len_rbd,frac_rbd,len_polymerase_replicase,frac_polymerase_replicase,len_accessory_immune,frac_accessory_immune,len_structural_other,frac_structural_other,len_host_interaction_broad,frac_host_interaction_broad,len_other,frac_other
GU190215,29276,19,3780,0.12911599945347726,0,0.0,21194,0.7239376964066129,1481,0.050587511955185134,2169,0.07408799016259052,26455,0.9036412078152753,652,0.022270802022134172
OQ297726,28468,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28468,1.0
OQ297728,28466,7,4050,0.14227499473055574,0,0.0,20357,0.7151338438839318,657,0.023080165811845712,2121,0.07450994168481698,25059,0.8803133562846905,1286,0.04517670203049252
KF268336,31294,40,4914,0.1570269061161884,0,0.0,21536,0.6881830382820988,821,0.026235061034064037,2304,0.07362433693359749,27260,0.8710935003515051,1738,0.05553780277369464
KF268337,31294,40,4914,0.1570269061161884,0,0.0,21536,0.6881830382820988,821,0.026235061034064037,2304,0.07362433693359749,27260,0.8710935003515051,1738,0.05553780277369464
EF065509,30481,19,4059,0.13316492241068206,0,0.0,21548,0.7069321872641974,2050,0.06725501131852629,2196,0.07204488041730914,27545,0.9036777008628326,740,0.024277418719858272
MF370205,27155,15,3393,0.12494936475787148,0,0.0,20186,0.7433621800773338,990,0.036457374332535444,2043,0.07523476339532315,24564,0.9045847910145461,568,0.020916958202909224
MW855473,31157,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31157,1.0
MT549854,28637,8,0,0.0,0,0.0,20225,0.7062541467332472,1968,0.06872228236197926,1923,0.06715088871040961,22192,0.7749415092363027,4522,0.15790760205328772
EF065513,29113,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29113,1.0
MG762674,29134,9,3798,0.1303631495846777,0,0.0,20762,0.7126381547333013,1034,0.035491178691563124,2316,0.07949474840392669,25553,0.8770851925585227,1265,0.043420059037550626
OL998035,29785,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29785,1.0
ON648240,29749,51,3813,0.12817237554203503,669,0.022488150862213854,21398,0.719284681838045,1874,0.06299371407442267,2148,0.0722041077010992,27085,0.9104507714545027,516,0.01734512084439813
EF065505,30286,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30286,1.0
MW218395,30248,10,4059,0.13419069029357314,0,0.0,21389,0.7071211319756678,1320,0.04363924887595874,2181,0.07210394075641365,26712,0.8830997090716741,1355,0.04479635017191219
NC_035191,25995,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25995,1.0
NC_048211,25984,11,3405,0.13104217980295566,0,0.0,18974,0.7302185960591133,0,0.0,2019,0.07770166256157636,22379,0.861260775862069,1586,0.061037561576354676
