accession,W,mask_mode,genome_len,mask_start,mask_end,mask_frac,top_window,top_pol_frac,top_is_pol,top_mean_abs,mask_mean_abs,genome_mean_abs,mask_enrichment,span_source,top_frag_frac
EF065509,3,orf1ab_full,30481.0,260.0,21808.0,0.7069321872641974,0,0.9744094488188977,True,0.008958486632296423,0.006685567079779258,0.007115994404201165,0.9395126949273892,genbank,
GU190215,3,orf1ab_full,29276.0,190.0,21384.0,0.7239376964066129,0,0.9805287968846075,True,0.009784331696333203,0.008912052136209237,0.008388786350421517,1.0623768163748057,genbank,
KF268336,3,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,0,0.9819767999233056,True,0.008486042712258562,0.007436161514847341,0.007630707324516673,0.9745048785917557,genbank,
KF268337,3,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,0,0.9819767999233056,True,0.00881633243444492,0.007462970580650705,0.007531502999311722,0.9909005654426108,genbank,
MF370205,3,orf1ab_full,27155.0,296.0,20482.0,0.7433621800773338,0,0.9672964313335543,True,0.009419460351017657,0.008555934781597671,0.008403686906306182,1.0181167952815142,genbank,
MG762674,3,orf1ab_full,29134.0,229.0,20991.0,0.7126381547333013,2,0.16155271828665568,False,0.007557488881507097,0.0065930389418154154,0.007173998197645154,0.9190187619477745,genbank,
MT549854,3,orf1ab_full,28637.0,282.0,20507.0,0.7062541467332472,0,0.970455735987428,True,0.008965378397345356,0.007813722015213046,0.007864235515068303,0.9935768073376656,genbank,
MW218395,3,orf1ab_full,30248.0,199.0,21588.0,0.7071211319756678,0,0.9802618528069827,True,0.0122836232587006,0.008324292491240648,0.00876273695916864,0.9499648945334096,genbank,
NC_048211,3,orf1ab_full,25984.0,211.0,19185.0,0.7302185960591133,2,0.21507734934195336,False,0.011497488803671914,0.009378029686246202,0.009540410780045909,0.9829796538594194,genbank,
ON648240,3,orf1ab_full,29749.0,240.0,21521.0,0.7153517765303036,0,0.9757966922146026,True,0.011509313275381225,0.009774987092763693,0.009642781283504405,1.0137103399291496,genbank,
OQ297728,3,orf1ab_full,28466.0,267.0,12627.0,0.434202206140659,0,0.9718591905564924,True,0.012235068447974222,0.011228131669353675,0.010234245867902291,1.0971137311219494,genbank,
EF065509,5,orf1ab_full,30481.0,260.0,21808.0,0.7069321872641974,0,0.9573490813648294,True,0.01003706313596483,0.006685567079779258,0.007115994404201165,0.9395126949273892,genbank,
GU190215,5,orf1ab_full,29276.0,190.0,21384.0,0.7239376964066129,0,0.9675491033304867,True,0.01030037965209765,0.008912052136209237,0.008388786350421517,1.0623768163748057,genbank,
KF268336,5,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,2,1.0,True,0.010365231097039896,0.007436161514847341,0.007630707324516673,0.9745048785917557,genbank,
KF268337,5,orf1ab_full,31294.0,188.0,21724.0,0.6881830382820988,2,1.0,True,0.010021687767622895,0.007462970580650705,0.007531502999311722,0.9909005654426108,genbank,
