accession,family,window_idx,start,end,attr_mean,is_high,gc,cpg,cpa,window_len
EF065509,Coronaviridae,0,0,10160,0.008958486632296423,True,0.4427165354330709,0.030711684220887884,0.06555763362535683,10160
EF065509,Coronaviridae,1,10160,20320,0.0063630634784246215,False,0.42563244413820256,0.028745816105532587,0.06487497538885607,10160
EF065509,Coronaviridae,2,20320,30481,0.006026540331614007,False,0.42732014565495524,0.02893700787401575,0.07460629921259843,10161
GU190215,Coronaviridae,0,0,9758,0.009784331696333203,True,0.4053084648493544,0.0201906323665061,0.06180178333504151,9758
GU190215,Coronaviridae,2,19517,29276,0.008091316760609325,False,0.40137309150527717,0.022033203525312565,0.07153105144496823,9759
GU190215,Coronaviridae,1,9758,19517,0.007290853595177226,False,0.4068039758171944,0.02039352326296372,0.06876409100225456,9759
KF268336,Coronaviridae,0,0,10431,0.008486042712258562,True,0.4330361422682389,0.02799616490891659,0.04918504314477469,10431
KF268336,Coronaviridae,1,10431,20862,0.007577424876798264,False,0.4044674527849679,0.024928092042186004,0.05465004793863854,10431
KF268336,Coronaviridae,2,20862,31294,0.006828731268402318,False,0.41660276073619634,0.023775285207554404,0.059438213018886014,10432
KF268337,Coronaviridae,0,0,10431,0.00881633243444492,True,0.4334196146102962,0.02799616490891659,0.04947267497603068,10431
KF268337,Coronaviridae,1,10431,20862,0.007313819735526447,False,0.40494679321253957,0.02502396931927133,0.054554170661553214,10431
KF268337,Coronaviridae,2,20862,31294,0.0064644591234173385,False,0.41679447852760737,0.023775285207554404,0.059342344933371684,10432
MF370205,Coronaviridae,0,0,9051,0.009419460351017657,True,0.3885758479725997,0.019447513812154697,0.048839779005524865,9051
MF370205,Coronaviridae,1,9051,18103,0.008435720238638672,False,0.39394608926204155,0.019776820240857362,0.05590542481493758,9052
MF370205,Coronaviridae,2,18103,27155,0.007355992344622874,False,0.4002430402121078,0.02242846094354215,0.0583360954590653,9052
MG762674,Coronaviridae,2,19422,29134,0.007557488881507097,True,0.41968698517298186,0.027597569766244466,0.06075584388837401,9712
MG762674,Coronaviridae,1,9711,19422,0.007292492510942889,False,0.4078879621048296,0.023789907312049434,0.05664263645726056,9711
MG762674,Coronaviridae,0,0,9711,0.0066719737101462884,False,0.43352898774585524,0.028836251287332648,0.05242018537590113,9711
MT549854,Coronaviridae,0,0,9545,0.008965378397345356,True,0.41364493816809894,0.025678650036683785,0.05492086783356042,9545
MT549854,Coronaviridae,1,9545,19091,0.007998415199757462,False,0.3964162213140522,0.025466359253825194,0.05365751414797736,9546
MT549854,Coronaviridae,2,19091,28637,0.006629028299336351,False,0.40173985955350594,0.020964360587002098,0.06079664570230608,9546
MW218395,Coronaviridae,0,0,10082,0.0122836232587006,True,0.37581829002182104,0.01904572959031842,0.053268524947921836,10082
MW218395,Coronaviridae,2,20165,30248,0.0074141712709018155,False,0.3802439750074383,0.01676254711366792,0.0579250148780004,10083
MW218395,Coronaviridae,1,10082,20165,0.006590765538253555,False,0.3779629078647228,0.0180519738147193,0.05802420154731204,10083
NC_048211,Coronaviridae,2,17322,25984,0.011497488803671914,True,0.3217501731701686,0.010160489550860179,0.043066620482623254,8662
NC_048211,Coronaviridae,1,8661,17322,0.009104131859299053,False,0.31647615748758806,0.009815242494226328,0.03741339491916859,8661
NC_048211,Coronaviridae,0,0,8661,0.008019385712725738,False,0.32294192356540813,0.008545034642032332,0.03879907621247113,8661
ON648240,Coronaviridae,0,0,9916,0.011509313275381225,True,0.37505042355788626,0.014523449319213313,0.0637418053454362,9916
ON648240,Coronaviridae,2,19832,29749,0.009816064274161524,False,0.3823737017243118,0.017144009681323114,0.07351754739814441,9917
ON648240,Coronaviridae,1,9916,19832,0.007602948825880647,False,0.37938684953610324,0.012506303580433687,0.0714069591527988,9916
OQ297728,Coronaviridae,0,0,9488,0.012235068447974222,True,0.38532883642495785,0.018867924528301886,0.05881732897649415,9488
OQ297728,Coronaviridae,1,9488,18977,0.011099381083251422,False,0.3826535989039941,0.01770657672849916,0.06123524451939292,9489
OQ297728,Coronaviridae,2,18977,28466,0.0073684989295346665,False,0.3857910825339939,0.01971326164874552,0.06778410288846722,9489
