accession,locus_id,locus_start,locus_end,locus_len,genome_len,mass_enrichment,mass_enrichment_table32,p_circular_shift_mass,p_table32,null_mean,null_sd,z
EF065509,ORF1ab_C_terminal_third,14481,21808,7327,30481,0.6250838494809644,0.6250838494809644,0.9940029985007496,0.994005994005994,1.0083491107812843,0.17331006320446912,-2.21144262608772
GU190215,ORF1ab_C_terminal_third,14178,21384,7206,29276,1.14988473536335,1.14988473536335,0.24587706146926536,0.2557442557442557,0.9977573758704127,0.19539228910613576,0.7785740173723164
KF268336,ORF1ab_C_terminal_third,9040,13601,4561,31294,1.3178167097985571,1.3178167097985571,0.004497751124437781,0.0059940059940059,0.9962756888846527,0.21808627109003922,1.4743753437883893
KF268337,ORF1ab_C_terminal_third,9040,13601,4561,31294,1.4625539604483095,1.4625539604483095,0.0029985007496251873,0.0009990009990009,1.0040873900681677,0.2559300637666782,1.7913744232803712
MF370205,ORF1ab_C_terminal_third,13618,20482,6864,27155,1.2401279114897206,1.2401279114897206,0.059470264867566215,0.0719280719280719,0.9974141492515887,0.16693378321882435,1.4539523250363993
MG762674,ORF1ab_C_terminal_third,8610,12928,4318,29134,1.1160393345960788,1.1160393345960788,0.3288355822088955,0.3416583416583416,0.999120555245725,0.20576132385700038,0.5682252483543014
MT549854,ORF1ab_C_terminal_third,8324,12468,4144,28637,1.0569890354491491,1.0569890354491491,0.3293353323338331,0.3126873126873127,1.0001905063109222,0.16282022793548973,0.3488419704260014
MW218395,ORF1ab_C_terminal_third,8986,13513,4527,30248,1.0309859811787636,1.0309859811787636,0.4357821089455272,0.4295704295704295,0.9956619812154981,0.17899480303014162,0.19734651154825525
NC_048211,ORF1ab_C_terminal_third,12733,19185,6452,25984,1.1705132414320143,1.1705132414320143,0.2563718140929535,0.2817182817182817,0.9944827341285313,0.2943622306854985,0.598006432053292
ON648240,ORF1ab_C_terminal_third,14285,21521,7236,29749,0.9821399876982906,0.9821399876982906,0.5497251374312844,0.5194805194805194,0.9960370808161008,0.27143273140135576,-0.051199032062427104
OQ297728,ORF1ab_C_terminal_third,8424,12627,4203,28466,1.396249900765293,1.396249900765293,0.09295352323838081,0.0969030969030969,1.0076285014088227,0.2576702584169257,1.5082120914694706
