accession,organism,analysis,window_start,window_end,class,frac_len_in_window,mean_attr_in,mean_attr_out,mean_enrichment,mass_frac,mass_enrichment,top_q,top_top_n,top_top_in_mask,top_mask_n,top_obs_top_frac_in_mask,top_expected_frac,top_enrichment_vs_length,top_p_hypergeom,top_p_shift_top_frac,top_p_shift_mass_enrichment,p_circular_shift_mass,note
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,entry_interface,0.90771484375,0.012211909061581407,0.0008498031673576711,14.370279531379497,0.9929748524824019,1.0939281860579444,0.1,410,410,3718,1.0,0.90771484375,1.1016675632048112,6.1191388356003615e-19,0.6366816591704147,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,polymerase_replicase,0.0,,0.011163355343803923,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,host_interaction_broad,0.998046875,0.011184060815880036,0.0005828591129101626,19.188274778855284,0.999898023786748,1.0018547713861097,0.1,410,410,4088,1.0,0.998046875,1.0019569471614227,0.429766353463218,0.8420789605197402,0.025987006496751622,0.025987006496751622,IG window was spike-prioritized; interpret within-window only
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,rbd,0.0,,0.011163355343803923,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,structural_other,0.0,,0.011163355343803923,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
GU190215,Bat coronavirus BM48-31/BGR/2008,spike_centered_window,21452,25548,other,0.001953125,0.0005828591129101626,0.011184060815880036,0.05211515946717421,0.00010197621323005621,0.05221182114705633,0.1,410,0,8,0.0,0.001953125,0.0,1.0,1.0,0.974512743628186,0.974512743628186,IG window was spike-prioritized; interpret within-window only
OQ297728,Bat coronavirus HKU10,spike_centered_window,21452,25548,entry_interface,0.78564453125,0.011714435826648804,0.0007136953706335949,16.4137758330268,0.9836491550041646,1.2520282594443537,0.1,410,410,3218,1.0,0.78564453125,1.2728402734601574,2.6067759598612163e-46,0.45377311344327836,0.0004997501249375312,0.0004997501249375312,IG window was spike-prioritized; interpret within-window only
OQ297728,Bat coronavirus HKU10,spike_centered_window,21452,25548,polymerase_replicase,0.0,,0.009356366949602573,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
OQ297728,Bat coronavirus HKU10,spike_centered_window,21452,25548,host_interaction_broad,0.94580078125,0.009856151293600856,0.0006349050187496639,15.52382010306179,0.9963221455312428,1.0534164966679544,0.1,410,410,3874,1.0,0.94580078125,1.0573051109952682,3.392791363563144e-11,0.607696151924038,0.05247376311844078,0.05247376311844078,IG window was spike-prioritized; interpret within-window only
OQ297728,Bat coronavirus HKU10,spike_centered_window,21452,25548,rbd,0.0,,0.009356366949602573,,0.0,0.0,0.1,410,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,IG window was spike-prioritized; interpret within-window only
OQ297728,Bat coronavirus HKU10,spike_centered_window,21452,25548,structural_other,0.04736328125,0.000588837413178899,0.009792271800977815,0.06013287060925945,0.002980780057167228,0.06293440780360406,0.1,410,0,194,0.0,0.04736328125,0.0,1.0,1.0,0.9825087456271864,0.9825087456271864,IG window was spike-prioritized; interpret within-window only
